iter	Passed	Remaining
403	8928	13172
404	8951	13151
405	8973	13128
406	8994	13104
407	9015	13081
408	9037	13059
409	9059	13037
410	9083	13017
411	9104	12994
412	9127	12972
413	9149	12950
414	9170	12927
415	9192	12904
416	9214	12882
417	9235	12859
418	9255	12834
419	9276	12810
420	9297	12786
421	9317	12761
422	9337	12737
423	9359	12714
424	9380	12691
425	9402	12668
426	9421	12643
427	9440	12617
428	9462	12594
429	9482	12570
430	9502	12545
431	9522	12520
432	9543	12497
433	9563	12472
434	9583	12447
435	9604	12423
436	9625	12401
437	9645	12376
438	9666	12352
439	9686	12327
440	9706	12303
441	9727	12280
442	9747	12256
443	9767	12231
444	9787	12207
445	9808	12183
446	9829	12160
447	9851	12138
448	9873	12116
449	9894	12093
450	9914	12068
451	9934	12044
452	9955	12021
453	9975	11997
454	9995	11973
455	10016	11949
456	10036	11924
457	10056	11900
458	10076	11876
459	10097	11853
460	10118	11830
461	10137	11805
462	10157	11781
463	10180	11759
464	10203	11739
465	10224	11716
466	10245	11693
467	10266	11670
468	10287	11647
469	10308	11624
470	10329	11600
471	10351	11579
472	10372	11556
473	10393	11534
474	10415	11511
475	10436	11488
476	10457	11465
477	10478	11442
478	10499	11420
479	10520	11397
480	10541	11374
481	10561	11350
482	10581	11326
483	10601	11302
484	10622	11279
485	10643	11256
486	10664	11233
487	10684	11210
488	10704	11186
489	10725	11162
490	10745	11139
491	10765	11115
492	10786	11092
493	10806	11069
494	10826	11045
495	10848	11023
496	10868	10999
497	10889	10977
498	10910	10953
499	10932	10932
500	10952	10908
501	10972	10885
502	10993	10862
503	11013	10839
504	11034	10815
505	11054	10792
506	11074	10768
507	11094	10744
508	11116	10723
509	11136	10699
510	11156	10676
511	11178	10654
512	11200	10632
513	11220	10609
514	11241	10586
515	11261	10563
516	11282	10540
517	11303	10518
518	11325	10496
519	11346	10473
520	11367	10451
521	11389	10429
522	11412	10408
523	11434	10386
524	11457	10365
525	11477	10343
526	11500	10321
527	11520	10298
528	11540	10275
529	11561	10252
530	11583	10230
531	11604	10208
532	11626	10186
533	11649	10165
534	11671	10144
535	11692	10121
536	11713	10099
537	11734	10076
538	11754	10053
539	11774	10030
540	11795	10007
541	11816	9984
542	11837	9962
543	11859	9940
544	11880	9918
545	11901	9896
546	11921	9872
547	11941	9849
548	11962	9826
549	11982	9803
550	12002	9780
551	12023	9758
552	12044	9735
553	12064	9712
554	12085	9689
555	12108	9669
556	12129	9646
557	12150	9624
558	12171	9601
559	12192	9579
560	12213	9557
561	12234	9535
562	12256	9513
563	12277	9491
564	12297	9467
565	12318	9445
566	12338	9422
567	12358	9399
568	12378	9376
569	12399	9353
570	12418	9330
571	12439	9307
572	12460	9285
573	12480	9262
574	12502	9240
575	12524	9219
576	12544	9196
577	12566	9174
578	12587	9152
579	12608	9130
580	12629	9108
581	12652	9086
582	12674	9065
583	12695	9043
584	12717	9021
585	12741	9001
586	12770	8984
