iter	MultiClass
138	1.341596295
139	1.341131056
140	1.340632605
141	1.34040571
142	1.340173155
143	1.339873392
144	1.339421278
145	1.338906929
146	1.338616982
147	1.338411018
148	1.338032989
149	1.337742734
150	1.337394418
151	1.337227307
152	1.336994504
153	1.336688972
154	1.336316733
155	1.336085336
156	1.336061932
157	1.335845251
158	1.335550259
159	1.335395222
160	1.335247982
161	1.334912384
162	1.334582768
163	1.334455545
164	1.334283125
165	1.333925582
166	1.333619841
167	1.333383104
168	1.333160028
169	1.332893411
170	1.332664522
171	1.332496548
172	1.332215311
173	1.331939492
174	1.331788436
175	1.331662661
176	1.331234355
177	1.330982878
178	1.330676065
179	1.330440039
180	1.330111773
181	1.330012523
182	1.329917646
183	1.329776254
184	1.329495264
185	1.329302831
186	1.329024355
187	1.32872904
188	1.328655228
189	1.328451204
190	1.328279858
191	1.327994557
192	1.327899652
193	1.327820557
194	1.327536488
195	1.327209799
196	1.326908862
197	1.326668349
198	1.326385393
199	1.326277334
200	1.326198323
201	1.326037906
202	1.325844495
203	1.325697014
204	1.32531778
205	1.32508208
206	1.324936843
207	1.324739522
208	1.324539553
209	1.32425962
210	1.323951432
211	1.3238409
212	1.323689892
213	1.323436226
214	1.323028173
215	1.322820512
216	1.322490477
217	1.322265599
218	1.322070437
219	1.321777594
220	1.321442895
221	1.321096256
222	1.321001405
223	1.320756361
224	1.320435606
225	1.320211992
226	1.32004532
227	1.319915545
228	1.319595496
229	1.319340866
230	1.319146896
231	1.318922885
232	1.318704891
233	1.318399761
234	1.31825794
235	1.317933987
236	1.317685219
237	1.317474603
238	1.317388607
239	1.317087529
240	1.316802299
241	1.316614467
242	1.316382256
243	1.316153624
244	1.315967157
245	1.31573947
246	1.315446598
247	1.315116251
248	1.314951528
249	1.314829695
250	1.314694768
251	1.314570149
252	1.314503954
253	1.314377528
254	1.314214822
255	1.313745545
256	1.313436975
257	1.313315857
258	1.313140407
259	1.312902305
260	1.312849775
261	1.312596153
262	1.312501156
263	1.312255543
264	1.311944588
265	1.311723864
266	1.311656505
267	1.311475674
268	1.311130781
269	1.310992578
270	1.310737721
271	1.310571686
272	1.310363842
273	1.310189073
274	1.310070361
275	1.309845916
276	1.309744536
277	1.309424511
278	1.30921466
279	1.308896792
280	1.308687237
281	1.308382453
282	1.308066481
283	1.307821127
284	1.307700189
285	1.307383752
286	1.307130596
287	1.306914691
288	1.306783303
289	1.306558394
290	1.306395671
291	1.306176387
292	1.30596952
293	1.305802954
294	1.305712497
295	1.305470852
296	1.305060894
297	1.30489283
298	1.304694831
299	1.304564493
300	1.304397493
301	1.304176062
302	1.304009344
303	1.303818697
304	1.303563673
305	1.303411931
306	1.303288202
307	1.303100619
308	1.302967639
309	1.302891579
310	1.302656958
311	1.302580596
312	1.302212082
313	1.302026635
314	1.301830385
315	1.301708661
316	1.301489225
317	1.301356506
318	1.301177388
319	1.301022396
320	1.300881589
321	1.300668014
322	1.30041306
323	1.300273117
324	1.300074901
325	1.299845343
326	1.299793042
327	1.299673465
328	1.299440342
329	1.299317238
330	1.2991339
331	1.298887795
332	1.298736595
333	1.298586695
334	1.298426255
335	1.298288182
336	1.298059858
337	1.298002585
338	1.29778194
339	1.297650345
340	1.297278255
341	1.297076749
342	1.29696984
343	1.296758307
344	1.296687939
345	1.296548152
346	1.296380795
347	1.295999763
348	1.295752618
349	1.295554589
350	1.295372959
351	1.295098219
352	1.294920332
353	1.294701505
354	1.294430885
355	1.294192561
356	1.294123747
357	1.293958153
358	1.293817791
359	1.293593435
360	1.293428145
361	1.293306286
362	1.293146266
363	1.292907095
364	1.292644508
365	1.292517645
366	1.292333831
367	1.292210035
368	1.292143673
369	1.292036491
370	1.291965784
371	1.29184599
372	1.291574964
373	1.291424195
374	1.291340982
375	1.291068841
376	1.290923234
377	1.290856003
378	1.290710503
379	1.290496651
380	1.290275736
381	1.290084688
382	1.289970043
383	1.289676235
384	1.289582741
385	1.289549416
386	1.289344099
387	1.289251052
388	1.289151547
389	1.28908508
390	1.289001097
391	1.288941696
392	1.288861998
393	1.288722682
394	1.288602672
395	1.288409732
396	1.288216579
397	1.288160711
398	1.287887113
399	1.287807767
400	1.287758283
401	1.287557897
402	1.287410977
403	1.28728807
404	1.287198397
405	1.286983637
406	1.286919817
407	1.286765572
408	1.286574816
409	1.286531546
410	1.286391679
411	1.286195834
412	1.286008726
413	1.285766391
414	1.285668795
415	1.285599832
416	1.285289586
417	1.28512757
418	1.284851766
419	1.284645635
420	1.284542306
421	1.284462084
422	1.284380788
423	1.284330188
424	1.284145842
425	1.283966627
426	1.283880847
427	1.283825717
428	1.283792432
429	1.283655376
430	1.283563117
431	1.283360807
432	1.283184352
433	1.28288784
434	1.282801983
435	1.282715007
436	1.282570401
437	1.282364544
438	1.28210509
439	1.281937532
440	1.281769376
441	1.281580502
442	1.281531222
443	1.28146849
444	1.281266523
445	1.281237432
446	1.281081668
447	1.281007523
448	1.280916241
449	1.280755686
450	1.280669549
451	1.280463552
452	1.28028167
453	1.280158171
454	1.280030185
455	1.279964872
456	1.279831315
457	1.279705637
458	1.279622702
459	1.279323321
460	1.279135816
461	1.278995228
462	1.278822541
463	1.278693746
464	1.278345191
465	1.278119308
466	1.277937475
467	1.277758411
468	1.277523239
469	1.277382388
470	1.277290046
471	1.277100946
472	1.276920837
473	1.276765467
474	1.27654052
475	1.276287597
476	1.276209433
477	1.275990259
478	1.275800194
479	1.27566697
480	1.27555657
481	1.275423832
482	1.275245102
483	1.275060685
484	1.274960357
485	1.274619435
486	1.274368766
487	1.274052048
488	1.273863145
489	1.273697561
490	1.273378032
491	1.273308415
492	1.27313526
493	1.272974641
494	1.272771589
495	1.272613118
496	1.272523819
497	1.272441695
498	1.27229103
499	1.272119706
500	1.272075741
501	1.271866029
502	1.27164588
503	1.271490029
504	1.271157521
505	1.271033659
506	1.270707786
507	1.270664014
508	1.270564253
509	1.270457125
510	1.27034045
511	1.270225354
512	1.270080362
513	1.26994003
514	1.269832283
515	1.269732221
516	1.269551289
517	1.269373441
518	1.269122991
519	1.268908344
520	1.268792677
521	1.26860839
522	1.268445708
523	1.268407678
524	1.268214188
525	1.268091493
526	1.268025751
527	1.267922564
528	1.267805866
529	1.267677352
530	1.267329868
531	1.267217998
532	1.267046801
533	1.266870543
534	1.266828806
535	1.266769712
536	1.266625296
537	1.266496735
538	1.266216105
539	1.266031857
540	1.265954543
541	1.265874278
542	1.26577663
543	1.265592405
544	1.265405201
545	1.265291962
546	1.265077602
547	1.265029728
548	1.264881854
549	1.264802817
550	1.264676247
551	1.264464919
552	1.264425646
553	1.264214305
554	1.264129472
555	1.26395163
556	1.263698178
557	1.263582786
558	1.263307334
559	1.263015512
560	1.262924289
561	1.262891716
562	1.26274875
563	1.262459019
564	1.262315889
565	1.262168502
566	1.261984464
567	1.261874487
568	1.261844432
569	1.261620476
570	1.261551487
571	1.261409032
572	1.261153002
573	1.260977071
574	1.260877869
575	1.26063646
576	1.260478377
577	1.26018239
578	1.260006999
579	1.259844589
580	1.259668599
581	1.259403997
582	1.259152852
583	1.259055389
584	1.258945166
585	1.258856984
586	1.258750753
587	1.258630652
588	1.258495909
589	1.258288573
590	1.258097916
591	1.257988027
592	1.257870201
593	1.257751665
594	1.257655502
595	1.25756835
596	1.25739495
597	1.257265433
598	1.257071619
599	1.256977652
600	1.256873338
601	1.25672259
602	1.256535846
603	1.256489489
604	1.256398886
605	1.256203773
606	1.256052287
607	1.255953934
608	1.255821709
609	1.255729818
610	1.255438099
611	1.255341044
612	1.255257006
613	1.255142335
614	1.255062711
615	1.254906898
616	1.254762169
617	1.254605468
618	1.254543711
619	1.254261844
620	1.254105864
621	1.254008434
622	1.253907685
623	1.253780446
624	1.253626396
625	1.253506087
626	1.253416539
627	1.253232489
628	1.253145818
629	1.253040051
630	1.252914264
631	1.252784665
632	1.252671949
633	1.252493613
634	1.252430188
635	1.252194136
636	1.252057672
637	1.251897674
638	1.25181154
639	1.251720371
640	1.251468573
641	1.251404736
642	1.251204703
643	1.251118706
644	1.25103526
645	1.250952902
646	1.250840362
647	1.250569118
648	1.250337617
649	1.250258585
650	1.250126853
651	1.250033254
652	1.24968297
653	1.249522704
654	1.249336314
655	1.249302387
656	1.249237902
657	1.249195483
658	1.249059865
659	1.248951766
660	1.248760937
661	1.248532203
662	1.248262115
663	1.248212862
664	1.247937516
665	1.247776448
666	1.247509988
667	1.247242879
668	1.247141376
669	1.246921089
670	1.246742282
671	1.246696246
672	1.246525196
673	1.246270039
674	1.246189902
675	1.246115479
676	1.245946432
677	1.245794137
678	1.245594758
679	1.245460177
680	1.245416731
681	1.245295882
682	1.245209336
683	1.245056642
684	1.244944478
685	1.244695302
686	1.244576179
687	1.244474198
688	1.244366186
689	1.244297247
690	1.244191638
691	1.24414455
692	1.243934209
693	1.243878951
694	1.243819888
695	1.243624848
696	1.243531383
697	1.243467538
698	1.243313478
699	1.243148858
700	1.242973776
701	1.242836292
702	1.242763491
703	1.242649197
704	1.242567842
705	1.242455929
706	1.242335593
707	1.242192702
708	1.242030727
709	1.242017298
710	1.241913849
711	1.241823776
712	1.241572997
713	1.241350902
714	1.241319248
715	1.241220904
716	1.240881392
717	1.240699727
718	1.240590835
719	1.240500124
720	1.240452987
721	1.240293126
722	1.240181402
723	1.240126955
724	1.239938055
725	1.2398337
726	1.239678244
727	1.239604842
728	1.239350554
729	1.239309634
730	1.239188876
731	1.239067123
732	1.238934026
733	1.23890681
734	1.238723894
735	1.238523318
736	1.23835731
737	1.238261591
738	1.238057994
739	1.237991686
740	1.237859141
741	1.237670667
742	1.237526288
743	1.237421128
744	1.237345787
745	1.237242999
746	1.237071364
747	1.236993361
748	1.236892147
749	1.236810224
750	1.23657306
751	1.236426987
752	1.236359251
753	1.236159517
754	1.236006526
755	1.235838014
756	1.235799597
757	1.23572812
758	1.235649963
759	1.235531221
760	1.235449934
761	1.235304227
762	1.235076224
763	1.234872778
764	1.23478028
765	1.23462207
766	1.234418503
767	1.234295863
768	1.234147587
769	1.234019257
770	1.233823786
771	1.233682479
772	1.233385939
773	1.233294855
774	1.233151392
775	1.233009976
776	1.232906436
777	1.232733976
778	1.232587175
779	1.232441551
780	1.232260066
781	1.232180806
782	1.232105757
783	1.231882546
784	1.231735365
785	1.23159511
786	1.231429633
787	1.231288996
788	1.23113856
789	1.23102854
790	1.230910212
791	1.230799615
792	1.2306872
793	1.23057604
794	1.230533661
795	1.230367031
796	1.230295862
797	1.230028723
798	1.229899188
799	1.229769847
800	1.229625706
801	1.229562277
802	1.229438262
803	1.229311018
804	1.229255955
805	1.229084858
806	1.228969512
807	1.22889653
808	1.228810173
809	1.228677085
810	1.228516049
811	1.228417976
812	1.228327405
813	1.228091833
814	1.227855772
815	1.227749409
816	1.227689452
817	1.227608783
818	1.227539854
819	1.227394575
820	1.227240698
821	1.22703643
822	1.226869249
823	1.226642654
824	1.226369203
825	1.226160101
826	1.226070605
827	1.225913668
828	1.225731368
829	1.225617646
830	1.225477024
831	1.225327682
832	1.225202691
833	1.225063811
834	1.224942594
835	1.2248448
836	1.224737611
837	1.22457426
838	1.224435462
839	1.224235126
840	1.224074204
841	1.224007692
842	1.223871278
843	1.223808667
844	1.223719544
845	1.223598501
846	1.223426644
847	1.223238059
848	1.223132621
849	1.222997417
850	1.222800984
851	1.222613204
852	1.222558003
853	1.22246088
854	1.222408528
855	1.222338123
856	1.222259298
857	1.222073165
858	1.221945084
859	1.221886326
860	1.22174998
861	1.221630517
862	1.221504917
863	1.221464703
864	1.221405589
865	1.221212718
866	1.221127035
867	1.220969027
868	1.220841267
869	1.220687541
870	1.220484116
871	1.220306392
872	1.220146621
873	1.220011924
874	1.21986316
875	1.219699522
876	1.219661158
877	1.21961608
878	1.219462023
879	1.21939935
880	1.2193021
881	1.219138922
882	1.219043871
883	1.218907034
884	1.218745244
885	1.218532145
886	1.218472471
887	1.21835677
888	1.218249616
889	1.218077886
890	1.21792521
891	1.217847332
892	1.217793523
893	1.217653583
894	1.217577462
895	1.21743166
896	1.217231718
897	1.217115589
898	1.217032874
899	1.21694292
900	1.216842135
901	1.216655581
902	1.216584865
903	1.216376999
904	1.216331965
905	1.216278172
906	1.216190652
907	1.21598071
908	1.215849158
909	1.215695087
910	1.21550138
911	1.215396092
912	1.215277268
913	1.215177083
914	1.215110291
915	1.214959706
916	1.21472052
917	1.214665926
918	1.214557874
919	1.214502437
920	1.214428187
921	1.214255725
922	1.213943316
923	1.213849319
924	1.213767431
925	1.213570333
926	1.213309928
927	1.213220123
928	1.213117592
929	1.212950358
930	1.212860889
931	1.212695776
932	1.212465469
933	1.212312242
934	1.212228159
935	1.212025561
936	1.211952877
937	1.211833892
938	1.211738085
939	1.211648079
940	1.211441299
941	1.21128645
942	1.211195019
943	1.210962754
944	1.210873188
945	1.210773918
946	1.2107488
947	1.210700239
948	1.210521148
949	1.210375475
950	1.210182466
951	1.210013508
952	1.2099734
953	1.209760949
954	1.209684485
955	1.209614159
956	1.20952004
957	1.209417184
958	1.209250928
959	1.209159463
960	1.20903232
961	1.208949095
962	1.208903897
963	1.208724711
964	1.208660347
965	1.208495258
966	1.208418188
967	1.208247015
968	1.208127677
969	1.207982195
970	1.207775052
971	1.207578686
972	1.207405964
973	1.207311727
974	1.207182548
975	1.207053027
976	1.2069151
977	1.20670921
978	1.206614265
979	1.206493824
980	1.206411322
981	1.206258949
982	1.206085517
983	1.205972248
984	1.205877942
985	1.20577923
986	1.205650165
987	1.205461826
988	1.205330304
989	1.205089525
990	1.204871223
991	1.204770613
992	1.204725846
993	1.204559177
994	1.20433276
995	1.204237671
996	1.204139774
997	1.204090825
998	1.203941104
999	1.203684978
