iter	MultiClass
0	2.184717454
1	2.09549023
2	2.026342017
3	1.96720536
4	1.91538948
5	1.872233688
6	1.835333708
7	1.800773945
8	1.76964794
9	1.744833158
10	1.720054808
11	1.698110779
12	1.678106825
13	1.658627446
14	1.640059004
15	1.622790492
16	1.608415072
17	1.594488981
18	1.582284493
19	1.569842544
20	1.558746383
21	1.547649947
22	1.538072689
23	1.528685405
24	1.520534406
25	1.512495481
26	1.505680454
27	1.498842052
28	1.491528713
29	1.485290534
30	1.47913597
31	1.473883966
32	1.468867435
33	1.463318738
34	1.458623933
35	1.45421434
36	1.450304033
37	1.445847894
38	1.442237314
39	1.438514646
40	1.435486245
41	1.432344756
42	1.429281601
43	1.426617412
44	1.423757138
45	1.421244305
46	1.41887592
47	1.41629456
48	1.413528389
49	1.41102976
50	1.408844681
51	1.40674767
52	1.404818007
53	1.402779127
54	1.401008348
55	1.39900799
56	1.397834143
57	1.396014269
58	1.394566184
59	1.393248507
60	1.392053558
61	1.390494801
62	1.389284142
63	1.388046086
64	1.386719421
65	1.385636457
66	1.384515438
67	1.383404267
68	1.382593998
69	1.381911162
70	1.380705234
71	1.379716025
72	1.379294827
73	1.378493717
74	1.377342222
75	1.376679844
76	1.375805812
77	1.374994026
78	1.373878611
79	1.372844622
80	1.371745842
81	1.370911174
82	1.370127663
83	1.369278872
84	1.368262936
85	1.367663512
86	1.366800553
87	1.366323964
88	1.365424544
89	1.364850732
90	1.364381941
91	1.363771213
92	1.362969521
93	1.362595951
94	1.361725142
95	1.361034174
96	1.360314965
97	1.359593809
98	1.359003578
99	1.358379586
100	1.357648727
101	1.357217627
102	1.356640392
103	1.356134525
104	1.355603568
105	1.355209549
106	1.354818755
107	1.354489926
108	1.353883084
109	1.353440678
110	1.352930109
111	1.352357002
112	1.351784157
113	1.351146458
114	1.350462137
115	1.350210171
116	1.349715891
117	1.349174939
118	1.348717303
119	1.348308776
120	1.347863934
121	1.34733811
122	1.347063355
123	1.346764951
124	1.346422982
125	1.346127995
126	1.345939004
127	1.345396335
128	1.344909044
129	1.344640455
130	1.344137342
131	1.343881604
132	1.343418229
133	1.343108055
134	1.342860295
135	1.342504213
136	1.342272515
137	1.341838798
